Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
1,53,55,41,955,0.556884765625
2,68,93,29,85,7.2861328125
3,94,63,37,3025,1.77197265625
4,59,92,8,3638,2.27099609375
5,80,59,5,4532,3.0478515625
6,81,100,19,5294,3.31201171875
7,51,67,165,683,1.427978515625
8,62,93,62,2067,1.2041015625
9,64,79,141,1247,1.031005859375
10,55,57,1,3135,2.22705078125
11,77,60,16,4230,2.796875
12,78,89,5,6251,4.306884765625
13,64,91,117,1661,1.1298828125
14,90,64,19,4210,2.64208984375
15,59,84,125,400,5.59912109375
16,60,93,206,829,3.035888671875
17,70,82,143,1403,1.05908203125
18,96,100,145,2478,1.5458984375
19,57,72,99,311,4.572021484375
20,64,72,230,964,1.972900390625
21,100,51,38,2402,1.2529296875
22,53,81,116,367,3.4619140625
23,79,64,168,867,0.944091796875
24,72,80,15,4113,2.427978515625
25,75,70,14,4195,2.68896484375
26,94,67,161,539,3.988037109375
27,73,89,5,6245,4.484130859375
28,50,72,159,533,2.10888671875
29,93,69,210,1133,1.265869140625
30,96,58,210,1281,1.432861328125
31,76,57,164,713,0.93896484375
32,71,89,259,1387,1.72900390625
33,54,62,13,2239,1.213134765625
34,56,60,119,1124,0.7861328125
35,52,80,17,1800,0.955078125
36,55,51,119,697,0.573974609375
37,82,54,163,615,1.97314453125
38,85,94,150,483,7.3701171875
39,71,78,263,1066,2.241943359375
40,67,53,118,551,0.7509765625
41,52,71,14,2597,1.44482421875
42,88,53,49,1674,0.889892578125
43,78,82,22,3400,1.949951171875
44,83,88,200,653,7.00390625
45,95,78,1,7410,5.236083984375
46,88,76,107,1670,1.070068359375
47,85,78,117,2005,1.255859375
48,100,91,352,2013,2.8740234375
49,99,99,148,2800,1.967041015625
50,57,74,137,1046,0.798095703125
51,63,75,13,3710,2.25
52,76,94,1,7138,5.14990234375
53,87,65,231,1174,1.51806640625
54,100,89,86,3158,1.879150390625
55,59,85,219,862,2.30078125
56,73,55,160,615,1.244140625
57,55,98,13,3162,1.97021484375
58,89,77,21,5569,3.485107421875
59,66,75,138,1685,1.18408203125
60,71,87,199,652,4.68798828125
