Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
1,67,70,29,4849,3.653076171875
2,89,78,351,7922,3.9111328125
3,64,85,100,5868,3.524169921875
4,76,69,681,2695,1.383056640625
5,100,98,625,11335,5.44482421875
6,85,58,716,4116,1.7080078125
7,66,87,324,6537,3.5849609375
8,51,88,333,1129,0.60302734375
9,57,91,769,4614,1.887939453125
10,77,74,70,5995,3.546875
11,65,84,285,905,0.6259765625
12,72,96,776,2919,1.468994140625
13,60,63,205,4284,2.110107421875
14,94,93,1281,7230,3.11376953125
15,68,69,160,5213,2.857177734375
16,92,51,485,5245,2.373046875
17,60,88,83,252,0.342041015625
18,98,88,983,9229,3.916015625
19,52,83,475,1682,0.842041015625
20,87,66,703,5948,2.55517578125
21,79,63,371,5648,2.52294921875
22,93,77,526,1839,0.991943359375
23,58,52,38,3184,1.798828125
24,83,68,158,6202,3.326171875
25,88,100,406,9967,4.934814453125
26,63,78,694,3314,1.4609375
27,83,57,158,5215,2.856201171875
28,92,90,292,916,0.7099609375
29,96,65,937,4427,2.05322265625
30,52,72,566,2747,1.218017578125
31,67,87,9,5944,4.35693359375
32,67,66,107,4849,2.948974609375
33,77,69,603,5731,2.35302734375
34,74,87,639,7248,3.126953125
35,77,92,3,7133,5.322021484375
36,50,55,421,2071,0.90478515625
37,77,94,497,1636,0.9228515625
38,96,82,98,8469,4.9140625
39,96,97,1266,9151,3.912109375
40,99,68,246,7556,3.994873046875
41,71,55,351,1201,0.630859375
42,98,96,1242,5105,2.31884765625
43,72,86,520,1803,0.972900390625
44,62,95,498,6789,3.108154296875
45,99,55,788,5073,2.158935546875
46,86,95,140,8694,5.076904296875
47,80,83,804,6869,2.863037109375
48,71,100,53,7424,4.46484375
49,57,99,679,5899,2.617919921875
50,92,91,236,728,0.637939453125
51,83,99,997,8851,3.6279296875
52,74,97,1060,5384,2.35205078125
53,72,50,138,4079,1.976806640625
54,65,51,133,3756,1.81787109375
55,90,68,677,6588,2.697021484375
56,56,83,699,3286,1.451904296875
57,64,98,921,4491,2.087890625
58,84,68,53,6022,3.84912109375
59,91,57,792,4278,1.87109375
60,53,54,338,3156,1.378173828125
61,71,54,534,3668,1.491943359375
62,97,92,522,10286,4.998046875
63,79,54,388,4892,2.09814453125
64,51,58,93,3252,1.81201171875
65,96,62,882,5088,2.092041015625
66,72,87,27,6444,3.998046875
67,93,56,37,5499,3.508056640625
68,96,57,698,2633,1.2099609375
69,73,94,908,6791,2.856201171875
70,91,83,20,7754,4.743896484375
71,83,78,65,6880,4.02001953125
72,69,83,677,6127,2.531982421875
73,55,75,1,4125,2.7080078125
74,98,59,831,3846,1.636962890625
75,56,97,263,841,0.534912109375
76,94,57,653,2491,1.126953125
77,55,95,626,5712,2.38720703125
78,56,84,623,4633,1.94091796875
79,68,95,883,6247,2.55810546875
80,70,72,146,5562,2.9208984375
81,84,90,1167,5702,2.3798828125
82,82,72,367,1200,0.69189453125
83,62,96,300,960,0.635986328125
84,78,94,920,7619,3.096923828125
85,71,87,916,5593,2.286865234375
86,50,94,234,5369,2.529052734375
87,50,88,124,4844,2.529052734375
88,83,52,437,4909,2.051025390625
89,62,77,616,4933,2.06201171875
90,69,91,684,6873,2.81201171875
91,90,74,996,5462,2.257080078125
92,85,78,1000,5368,2.22802734375
93,53,69,14,3803,2.27001953125
94,94,88,243,9070,4.72607421875
95,50,69,426,1605,0.735107421875
96,80,62,26,5159,3.0830078125
97,63,65,609,3628,1.490966796875
98,54,99,98,5805,3.1689453125
99,57,58,296,1065,0.525146484375
100,50,78,336,4397,1.8828125
101,72,100,1095,4931,2.14892578125
102,85,57,167,5364,2.76904296875
103,72,84,921,4839,2.013916015625
104,55,58,321,3398,1.40283203125
105,82,62,147,5586,2.909912109375
106,88,79,9,7103,4.505126953125
107,76,79,23,6187,3.72705078125
108,51,66,54,161,0.201904296875
109,58,55,313,1090,0.531005859375
110,94,72,1019,5047,2.109130859375
111,99,63,910,4453,1.886962890625
112,87,57,25,5164,3.025146484375
113,83,92,209,645,0.5419921875
114,88,75,1000,5326,2.19677734375
115,60,75,203,633,0.428955078125
116,97,50,546,5199,2.14794921875
117,85,86,19,56,0.364013671875
118,50,88,290,5151,2.404052734375
119,94,96,1315,7893,3.427001953125
120,76,66,707,3106,1.409912109375
121,79,90,660,7966,3.447998046875
122,63,58,498,3704,1.505859375
123,69,65,669,2937,1.277099609375
124,60,84,453,5717,2.468994140625
125,93,55,347,5827,2.60302734375
126,53,74,119,4360,2.252197265625
127,73,93,1026,5029,2.14013671875
128,84,81,9,6951,5.346923828125
129,88,75,718,2636,1.27001953125
130,69,69,59,5043,2.89208984375
131,63,94,126,391,0.38720703125
132,50,62,337,3390,1.421875
133,55,88,312,1061,0.626953125
134,63,85,598,2206,1.0439453125
135,56,75,628,3411,1.447021484375
136,90,95,1113,8758,3.55712890625
137,90,61,358,6391,2.781982421875
138,89,54,405,5540,2.341064453125
139,82,74,442,7010,3.02099609375
140,57,90,187,582,0.425048828125
141,58,62,84,3922,1.955078125
142,96,86,1262,6114,2.572998046875
143,61,80,149,5410,2.762939453125
144,92,52,717,3627,1.510009765625
145,79,97,1063,4466,1.950927734375
146,58,83,81,5116,2.858154296875
147,88,60,112,5686,3.281005859375
148,56,55,401,1528,0.700927734375
149,82,88,1088,5519,2.291015625
150,95,67,134,6970,3.833984375
151,64,66,677,3624,1.5419921875
152,67,96,872,3664,1.698974609375
153,86,73,928,4350,1.861083984375
154,68,78,7,5329,3.4541015625
155,91,83,221,8281,4.360107421875
156,78,77,65,6329,3.778076171875
157,58,67,41,4141,2.39208984375
158,84,100,1191,7968,3.360107421875
159,80,65,104,5671,3.26806640625
160,85,65,19,5764,3.514892578125
161,89,90,8,8155,5.182861328125
162,57,51,206,3300,1.4599609375
163,60,79,631,2667,1.205078125
164,86,75,336,7420,3.369873046875
165,68,76,581,2143,0.995849609375
166,78,76,499,6852,2.9150390625
167,86,52,692,3441,1.4541015625
168,58,85,736,3656,1.5458984375
169,85,71,558,6849,2.89208984375
170,95,97,1213,9195,3.76416015625
171,52,97,594,5285,2.162109375
172,80,74,529,6743,2.845947265625
173,57,63,506,3029,1.244873046875
174,94,100,313,10400,5.2939453125
175,65,66,64,4621,2.655029296875
176,57,54,137,447,0.2939453125
177,53,78,591,3414,1.409912109375
178,69,52,568,3090,1.265869140625
179,81,100,1164,6050,2.52490234375
180,88,94,559,9500,4.14501953125
181,91,79,819,7769,3.151123046875
182,60,70,649,3114,1.30712890625
183,77,86,853,3469,1.535888671875
184,100,64,702,7026,2.863037109375
185,92,92,298,9369,4.740966796875
186,55,83,26,4679,2.81103515625
187,97,99,1275,9694,3.946044921875
188,86,61,781,4362,1.791015625
189,56,98,578,6031,2.47412109375
190,92,51,32,4905,2.93408203125
191,96,83,537,9301,4.052001953125
192,79,64,730,4683,2.070068359375
193,70,67,552,2088,0.968017578125
194,86,60,149,5676,3.237060546875
195,89,71,10,6437,4.0380859375
196,92,89,1055,8596,3.56396484375
197,55,92,550,5654,2.4169921875
198,94,53,681,4772,1.951171875
199,96,54,338,1143,0.636962890625
200,55,93,275,5910,2.7529296875
201,100,50,440,1520,0.759033203125
202,98,80,279,8738,4.583984375
203,77,53,253,4730,2.072998046875
204,89,77,239,7633,3.825927734375
205,84,67,482,1688,0.906005859375
206,60,92,625,2354,1.20703125
207,90,78,1046,4989,2.300048828125
208,50,56,65,3048,1.802978515625
209,88,75,335,1071,0.68896484375
210,73,83,227,6724,3.64306640625
211,61,73,541,2024,0.958984375
212,82,75,870,3922,1.68798828125
213,91,76,1012,5797,2.381103515625
214,76,96,481,8495,3.968994140625
215,50,84,443,1582,0.753173828125
216,76,73,206,646,0.4599609375
217,56,60,291,3868,1.636962890625
218,83,79,13,6763,4.306884765625
219,73,94,703,7769,3.233154296875
220,62,95,250,6659,3.112060546875
221,97,61,894,5194,2.197998046875
222,77,72,647,6076,2.5419921875
223,94,56,767,4555,2.007080078125
224,89,74,997,4765,1.997802734375
225,72,100,685,8166,3.5419921875
226,80,95,754,8564,3.62890625
227,68,61,388,4674,2.013916015625
228,75,74,844,4100,1.77490234375
229,62,52,64,3472,1.885986328125
230,78,61,338,5519,2.456787109375
231,68,74,10,5127,3.346923828125
232,52,91,309,5520,2.4560546875
233,51,100,611,2407,1.125
234,82,100,1169,7547,3.14697265625
235,76,77,454,1548,0.80810546875
236,72,92,906,6473,2.6337890625
237,51,84,140,4775,2.469970703125
238,57,53,467,2458,1.0400390625
239,50,62,32,3294,1.886962890625
240,78,68,23,5491,3.31005859375
241,84,82,996,5757,2.370849609375
242,57,98,839,4090,1.7109375
243,100,64,106,6885,3.82080078125
244,55,73,147,4464,2.115966796875
245,57,54,380,1580,0.715087890625
246,59,58,15,3525,2.144775390625
247,82,78,394,7350,3.22900390625
248,89,75,733,7230,2.954833984375
