Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
1,58,63,468,2791,2.073974609375
2,94,63,203,5844,5.675048828125
3,76,70,19,5317,5.593994140625
4,96,62,754,5320,4.68896484375
5,65,92,1,5980,7.5419921875
6,71,83,778,4862,4.34912109375
7,89,64,16,5688,6.10205078125
8,75,68,2,5100,6.617919921875
9,69,92,828,4461,4.0
10,82,60,1,4919,6.379150390625
11,85,86,732,6870,6.21484375
12,91,53,133,4782,4.497802734375
13,91,68,23,113,0.2919921875
14,59,77,101,4496,4.240966796875
15,55,95,511,2593,1.5390625
16,84,86,836,4405,3.98095703125
17,90,99,913,8222,7.180908203125
18,65,61,1,1,0.165771484375
19,82,63,441,2229,1.35595703125
20,95,73,768,6359,5.738037109375
21,71,100,1,7100,8.998046875
22,97,53,211,1039,0.617919921875
23,93,50,156,4583,4.324951171875
24,97,57,741,4479,3.8798828125
25,80,77,1,6159,7.60302734375
26,93,71,417,6454,5.89892578125
27,89,54,554,3095,2.032958984375
28,62,56,312,3296,2.98095703125
29,87,62,29,5387,5.695068359375
30,97,63,786,4743,4.17919921875
31,90,98,1084,7832,6.93017578125
32,50,66,405,2146,1.3330078125
33,61,93,1,5673,7.31494140625
34,89,91,18,85,0.35986328125
35,94,62,143,5782,5.540771484375
36,56,83,578,3607,2.48095703125
37,100,61,734,3848,2.522216796875
38,84,66,410,5274,4.80810546875
39,76,96,6,7293,8.364990234375
40,68,63,1,4284,5.739990234375
41,50,68,198,3310,3.27001953125
42,61,91,443,5363,4.817138671875
43,77,64,314,4765,4.5439453125
44,77,82,681,5888,5.44091796875
45,53,74,487,3560,3.1318359375
46,67,72,20,4817,5.072021484375
47,81,59,614,3538,2.37109375
48,51,85,69,4310,4.366943359375
49,52,67,375,1939,1.137939453125
50,61,54,367,2967,2.5869140625
51,55,84,3,4620,5.7119140625
52,56,55,400,2136,1.498046875
53,93,82,162,7559,7.737060546875
54,76,70,669,4747,4.302001953125
55,100,81,184,8022,8.381103515625
56,75,64,1,4800,6.302001953125
57,78,96,1,7488,9.800048828125
58,74,86,440,6171,5.6640625
59,56,68,473,2585,1.58203125
60,65,75,634,4005,3.467041015625
61,68,88,42,5972,6.156982421875
62,59,81,131,4726,4.427978515625
63,100,72,3,7200,8.8671875
64,70,82,604,3153,2.052001953125
65,70,95,265,1351,0.81689453125
66,56,70,507,2750,1.85107421875
67,77,95,924,6197,5.489990234375
68,95,72,1,6840,8.876220703125
69,74,94,2,6956,8.782958984375
70,83,97,122,7989,9.159912109375
71,94,87,992,7279,6.367919921875
72,73,77,77,5595,5.696044921875
73,88,63,525,5246,4.63916015625
74,97,89,1,8633,10.717041015625
75,79,76,1,6004,7.81103515625
76,60,87,1,5219,6.38720703125
77,89,58,523,4745,4.0400390625
78,70,86,536,5688,5.05712890625
79,66,82,200,5333,5.07080078125
80,99,84,1,8316,10.583984375
81,55,53,1,2915,3.379150390625
82,53,55,2,2915,3.501953125
83,77,69,262,5211,4.72998046875
84,78,63,608,4405,3.826904296875
85,52,74,281,1403,0.84912109375
86,69,81,713,4001,3.4560546875
87,66,60,1,3960,4.761962890625
88,72,97,672,3442,2.199951171875
89,76,73,683,4881,4.272216796875
90,92,80,168,7287,7.286865234375
91,71,56,157,3932,3.680908203125
92,71,60,3,4260,5.262939453125
93,55,89,1,4895,6.233154296875
94,99,70,133,6901,7.381103515625
95,53,73,457,2468,1.508056640625
96,66,81,1,5346,6.990966796875
97,66,80,1,5280,7.449951171875
98,65,74,293,4657,4.335205078125
99,94,56,1,5264,7.092041015625
100,52,74,293,3729,3.493896484375
101,60,77,5,4620,5.931884765625
